Round,BCA Energy (J),BCA Alive,LEACH Energy (J),LEACH Alive,DEEC Energy (J),DEEC Alive,SEP Energy (J),SEP Alive
0,54.976121,100,54.944739,100,54.948179,100,54.937155,100
1,54.952242,100,54.896186,100,54.879772,100,54.889476,100
2,54.928363,100,54.845256,100,54.828044,100,54.830097,100
3,54.904484,100,54.784579,100,54.768533,100,54.783368,100
4,54.880605,100,54.722713,100,54.716082,100,54.724703,100
5,54.856726,100,54.673056,100,54.668238,100,54.671216,100
6,54.832847,100,54.623385,100,54.611743,100,54.622010,100
7,54.808968,100,54.556462,100,54.539870,100,54.573782,100
8,54.785089,100,54.504961,100,54.491618,100,54.519379,100
9,54.761210,100,54.454537,100,54.439991,100,54.471846,100
10,54.737331,100,54.404380,100,54.393180,100,54.367984,100
11,54.713452,100,54.356768,100,54.341270,100,54.301209,100
12,54.689573,100,54.293164,100,54.289242,100,54.254914,100
13,54.665694,100,54.245507,100,54.240664,100,54.127372,100
14,54.641815,100,54.198923,100,54.189394,100,54.075665,100
15,54.617936,100,54.138357,100,54.142759,100,53.993792,100
16,54.594056,100,54.087419,100,54.064445,100,53.936025,100
17,54.570177,100,54.019148,100,54.013496,100,53.888036,100
18,54.546298,100,53.949160,100,53.964829,100,53.835112,100
19,54.522419,100,53.898940,100,53.917096,100,53.787454,100
20,54.498540,100,53.781055,100,53.862424,100,53.741441,100
21,54.474661,100,53.568038,100,53.806663,100,53.690193,100
22,54.450782,100,53.371621,100,53.669624,100,53.619634,100
23,54.426903,100,53.166676,100,53.515490,100,53.506785,100
24,54.403024,100,53.112542,100,53.361357,100,53.263693,100
25,54.379145,100,53.051806,100,53.177477,100,53.157491,100
26,54.355266,100,52.981271,100,53.125480,100,53.087029,100
27,54.331387,100,52.930542,100,53.057473,100,53.031077,100
28,54.307508,100,52.853069,100,52.999808,100,52.918962,100
29,54.283629,100,52.791564,100,52.803390,100,52.868112,100
30,54.259750,100,52.735632,100,52.698403,100,52.768822,100
31,54.235871,100,52.687028,100,52.647225,100,52.720705,100
32,54.211992,100,52.621181,100,52.594374,100,52.665106,100
33,54.188113,100,52.575235,100,52.531691,100,52.597668,100
34,54.164234,100,52.529045,100,52.480948,100,52.523249,100
35,54.140355,100,52.473173,100,52.430566,100,52.452713,100
36,54.116476,100,52.408825,100,52.379574,100,52.397945,100
