Round,BCA Energy (J),BCA Alive,LEACH Energy (J),LEACH Alive,DEEC Energy (J),DEEC Alive,SEP Energy (J),SEP Alive
0,54.976012,100,54.940048,100,54.941992,100,54.948298,100
1,54.952023,100,54.870937,100,54.894228,100,54.891302,100
2,54.928035,100,54.818455,100,54.844103,100,54.839016,100
3,54.904046,100,54.771104,100,54.774412,100,54.787540,100
4,54.880058,100,54.723906,100,54.726497,100,54.736518,100
5,54.856070,100,54.668314,100,54.673138,100,54.687777,100
6,54.832081,100,54.621677,100,54.623738,100,54.638987,100
7,54.808093,100,54.567584,100,54.576518,100,54.586162,100
8,54.784104,100,54.513935,100,54.527010,100,54.529311,100
9,54.760116,100,54.420848,100,54.480264,100,54.466961,100
10,54.736128,100,54.362704,100,54.430916,100,54.413543,100
11,54.712139,100,54.309705,100,54.334906,100,54.362748,100
12,54.688151,100,54.239591,100,54.288138,100,54.315392,100
13,54.664162,100,54.189667,100,54.221977,100,54.267000,100
14,54.640174,100,54.128781,100,54.161382,100,54.209756,100
15,54.616186,100,54.080164,100,54.104884,100,54.143432,100
16,54.592197,100,54.024746,100,54.055317,100,54.092428,100
17,54.568209,100,53.972823,100,54.006021,100,54.039347,100
18,54.544220,100,53.927528,100,53.956560,100,53.993323,100
19,54.520232,100,53.875411,100,53.911109,100,53.947014,100
20,54.496244,100,53.783587,100,53.859541,100,53.896777,100
21,54.472255,100,53.640072,100,53.686141,100,53.844391,100
22,54.448267,100,53.490976,100,53.559690,100,53.729598,100
23,54.424278,100,53.424816,100,53.493529,100,53.643547,100
24,54.400290,100,53.348224,100,53.390681,100,53.528755,100
25,54.376302,100,53.270843,100,53.299690,100,53.414539,100
26,54.352313,100,53.193868,100,53.204721,100,53.348148,100
27,54.328325,100,53.138949,100,53.150334,100,53.295257,100
28,54.304336,100,53.091089,100,53.031579,100,53.232230,100
29,54.280348,100,52.970766,100,52.976060,100,53.179088,100
30,54.256360,100,52.908150,100,52.896369,100,53.113548,100
31,54.232371,100,52.857219,100,52.718840,100,53.052947,100
32,54.208383,100,52.800633,100,52.634784,100,53.006199,100
33,54.184394,100,52.752759,100,52.582528,100,52.834788,100
34,54.160406,100,52.688478,100,52.526626,100,52.779805,100
35,54.136417,100,52.641781,100,52.462181,100,52.727268,100
36,54.112429,100,52.595363,100,52.400629,100,52.675858,100
37,54.088441,100,52.550908,100,52.356172,100,52.608901,100
38,54.064452,100,52.504464,100,52.308688,100,52.560663,100
39,54.040464,100,52.458639,100,52.263057,100,52.511436,100
40,54.016475,100,52.360247,100,52.214985,100,52.462241,100
41,53.992487,100,52.216733,100,52.170688,100,52.418737,100
42,53.968499,100,52.132298,100,52.117819,100,52.372565,100
43,53.944510,100,52.047864,100,52.057125,100,52.329032,100
44,53.920522,100,51.982727,100,51.999262,100,52.135021,100
45,53.896533,100,51.868511,100,51.862886,100,52.022334,100
46,53.872545,100,51.802351,100,51.744921,100,51.912548,100
47,53.848557,100,51.687559,100,51.687172,100,51.746873,100
48,53.824568,100,51.632091,100,51.636087,100,51.573472,100
49,53.800580,100,51.503712,100,51.570396,100,51.485545,100
50,53.776591,100,51.374074,100,51.407325,100,51.419672,100
51,53.752603,100,51.321492,100,51.254201,100,51.312379,100
52,53.728615,100,51.237058,100,51.170147,100,51.251579,100
53,53.704626,100,51.073987,100,51.109562,100,51.183119,100
54,53.680638,100,51.018000,100,50.943887,100,51.135808,100
55,53.656649,100,50.966954,100,50.831281,100,50.979043,100
56,53.632661,100,50.918680,100,50.667284,100,50.919129,100
57,53.608673,100,50.872748,100,50.616994,100,50.869501,100
58,53.584684,100,50.829791,100,50.571589,100,50.778113,100
59,53.560696,100,50.787116,100,50.525542,100,50.716305,100
60,53.536707,100,50.644345,100,50.479442,100,50.558737,100
61,53.512719,100,50.579208,100,50.434502,100,50.508868,100
62,53.488731,100,50.427914,100,50.390382,100,50.462322,100
63,53.464742,100,50.309575,100,50.340794,100,50.415145,100
