Round,BCA Energy (J),BCA Alive,LEACH Energy (J),LEACH Alive,DEEC Energy (J),DEEC Alive,SEP Energy (J),SEP Alive
0,54.971017,100,54.951227,100,54.953588,100,54.942052,100
1,54.942035,100,54.899433,100,54.855099,100,54.893330,100
2,54.913052,100,54.835984,100,54.806166,100,54.842616,100
3,54.884070,100,54.770509,100,54.758437,100,54.780506,100
4,54.855087,100,54.721007,100,54.708722,100,54.732510,100
5,54.826104,100,54.668841,100,54.659426,100,54.685147,100
6,54.797122,100,54.583421,100,54.588029,100,54.635967,100
7,54.768139,100,54.523246,100,54.535484,100,54.586933,100
8,54.739156,100,54.425933,100,54.478720,100,54.426878,100
9,54.710174,100,54.369555,100,54.424829,100,54.376881,100
10,54.681191,100,54.247178,100,54.376605,100,54.323152,100
11,54.652209,100,54.198151,100,54.326843,100,54.252140,100
12,54.623226,100,54.149305,100,54.269884,100,54.091465,100
13,54.594243,100,54.087842,100,53.987692,100,54.030996,100
14,54.565261,100,53.995195,100,53.937427,100,53.978711,100
15,54.536278,100,53.946322,100,53.871407,100,53.930540,100
16,54.507296,100,53.884543,100,53.803296,100,53.880695,100
17,54.478313,100,53.835417,100,53.750530,100,53.632291,100
18,54.449330,100,53.785563,100,53.697354,100,53.579763,100
19,54.420348,100,53.734118,100,53.642563,100,53.527795,100
20,54.391365,100,53.554536,100,53.591925,100,53.479954,100
21,54.362382,100,53.439007,100,53.417338,100,53.417046,100
22,54.333400,100,53.342741,100,53.121234,100,53.343683,100
23,54.304417,100,53.058055,100,53.024137,100,53.264233,100
24,54.275435,100,52.986292,100,52.874591,100,53.170791,100
25,54.246452,100,52.849273,100,52.687779,100,53.010737,100
26,54.217469,100,52.764115,100,52.627617,100,52.898655,100
27,54.188487,100,52.673118,100,52.536453,100,52.800500,100
28,54.159504,100,52.598992,100,52.469102,100,52.652568,100
29,54.130522,100,52.545770,100,52.417647,100,52.532799,100
30,54.101539,100,52.479829,100,52.333676,100,52.474110,100
31,54.072556,100,52.361831,100,52.241634,100,52.425608,100
32,54.043574,100,52.316621,100,52.193684,100,52.379626,100
33,54.014591,100,52.265915,100,52.094329,100,51.988298,100
34,53.985608,100,52.208999,100,52.042233,100,51.870097,100
35,53.956626,100,52.161029,100,51.981267,100,51.780273,100
36,53.927643,100,52.109947,100,51.929425,100,51.716143,100
37,53.898661,100,52.059558,100,51.872437,100,51.661957,100
38,53.869678,100,52.011962,100,51.824834,100,51.612686,100
