Round,BCA Energy (J),BCA Alive,LEACH Energy (J),LEACH Alive,DEEC Energy (J),DEEC Alive,SEP Energy (J),SEP Alive
0,54.976121,100,54.928019,100,54.924029,100,54.921375,100
1,54.952242,100,54.854363,100,54.835936,100,54.856402,100
2,54.928363,100,54.791294,100,54.778942,100,54.787423,100
3,54.904484,100,54.719980,100,54.706796,100,54.715338,100
4,54.880605,100,54.650418,100,54.622178,100,54.649631,100
5,54.856726,100,54.582778,100,54.562425,100,54.573684,100
6,54.832847,100,54.505170,100,54.486995,100,54.484481,100
7,54.808968,100,54.410742,100,54.408898,100,54.426313,100
8,54.785089,100,54.347025,100,54.337682,100,54.302111,100
9,54.761210,100,54.269513,100,54.263692,100,54.239185,100
10,54.737331,100,54.197727,100,54.197852,100,54.135364,100
11,54.713452,100,54.115999,100,54.126019,100,54.061560,100
12,54.689573,100,54.045035,100,54.059304,100,53.985925,100
13,54.665694,100,53.969198,100,53.984311,100,53.858552,100
14,54.641815,100,53.890327,100,53.898897,100,53.787556,100
15,54.617936,100,53.801920,100,53.819254,100,53.697584,100
16,54.594056,100,53.715399,100,53.740642,100,53.632199,100
17,54.570177,100,53.638289,100,53.670609,100,53.568598,100
18,54.546298,100,53.567704,100,53.588298,100,53.510453,100
19,54.522419,100,53.499411,100,53.501512,100,53.425272,100
20,54.498540,100,53.377960,100,53.440251,100,53.341434,100
21,54.474661,100,53.165434,100,53.362732,100,53.252042,100
22,54.450782,100,52.969326,100,53.203244,100,53.180599,100
23,54.426903,100,52.762176,100,53.007136,100,53.067703,100
24,54.403024,100,52.694037,100,52.923154,100,52.821234,100
25,54.379145,100,52.628743,100,52.822337,100,52.710886,100
26,54.355266,100,52.556009,100,52.752031,100,52.630387,100
27,54.331387,100,52.490081,100,52.678467,100,52.559861,100
28,54.307508,100,52.409870,100,52.617126,100,52.447693,100
29,54.283629,100,52.342154,100,52.515798,100,52.385525,100
30,54.259750,100,52.273701,100,52.439920,100,52.273056,100
31,54.235871,100,52.198442,100,52.377794,100,52.201901,100
32,54.211992,100,52.120311,100,52.308926,100,52.104343,100
33,54.188113,100,52.042749,100,52.227459,100,52.033424,100
34,54.164234,100,51.958471,100,52.160618,100,51.950859,100
35,54.140355,100,51.890837,100,52.099564,100,51.878126,100
36,54.116476,100,51.810418,100,52.022187,100,51.819148,100
37,54.092597,100,51.723579,100,51.950705,100,51.754031,100
38,54.068718,100,51.623861,100,51.867490,100,51.666770,100
39,54.044839,100,51.483749,100,51.788629,100,51.577798,100
40,54.020960,100,51.406230,100,51.684560,100,51.510598,100
41,53.997081,100,51.194685,100,51.618998,100,51.424248,100
42,53.973202,100,51.112104,100,51.512308,100,51.300266,100
43,53.949323,100,51.029761,100,51.406947,100,51.196359,100
44,53.925444,100,50.908310,100,51.210839,100,50.932319,100
45,53.901565,100,50.688646,100,51.145764,100,50.786942,100
46,53.877686,100,50.492538,100,50.944257,100,50.718348,100
47,53.853807,100,50.419804,100,50.873847,100,50.610785,100
48,53.829928,100,50.352975,100,50.771230,100,50.364316,100
49,53.806048,100,50.270395,100,50.701656,100,50.235258,100
50,53.782169,100,50.207993,100,50.632123,100,50.085515,100
51,53.758290,100,50.143956,100,50.341246,100,49.854430,100
52,53.734411,100,50.071143,100,50.134095,100,49.765374,100
53,53.710532,100,49.990826,100,50.052910,100,49.690317,100
54,53.686653,100,49.926091,100,49.977230,100,49.611120,100
55,53.662774,100,49.853332,100,49.891398,100,49.432737,100
56,53.638895,100,49.777269,100,49.831296,100,49.361600,100
57,53.615016,100,49.698682,100,49.766954,100,49.277617,100
58,53.591137,100,49.573119,100,49.711442,100,49.166652,100
59,53.567258,100,49.367564,100,49.646272,100,49.086055,100
60,53.543379,100,49.174048,100,49.588878,100,49.017929,100
61,53.519500,100,49.105286,100,49.523038,100,48.951646,100
62,53.495621,100,48.955543,100,49.443902,100,48.880243,100
63,53.471742,100,48.681724,100,49.326667,100,48.793219,100
64,53.447863,100,48.501213,100,49.250062,100,48.674316,100
65,53.423984,100,48.303042,100,49.152357,100,48.469358,100
66,53.400105,100,48.170920,100,48.982943,100,48.273909,100
67,53.376226,100,48.088242,100,48.875472,100,48.202466,100
68,53.352347,100,47.824202,100,48.794127,100,48.050046,100
69,53.328468,100,47.723385,100,48.730950,100,47.915791,100
70,53.304589,100,47.492300,100,48.484481,100,47.814974,100
71,53.280710,100,47.317368,100,48.238012,100,47.724319,100
72,53.256831,100,47.104842,100,48.155101,100,47.570180,100
73,53.232952,100,47.040606,100,47.908632,100,47.467651,100
74,53.209073,100,46.908483,100,47.779574,100,47.365121,100
75,53.185194,100,46.830495,100,47.689098,100,47.282443,100
76,53.161315,100,46.761566,100,47.583756,100,47.198205,100
77,53.137436,100,46.697109,100,47.514436,100,46.978194,100
78,53.113557,100,46.584551,100,47.452313,100,46.824541,100
79,53.089678,100,46.292187,100,47.392114,100,46.715390,100
80,53.065799,100,46.183880,100,47.333247,100,46.603222,100
81,53.041920,100,46.044830,100,47.271330,100,46.390695,100
82,53.018041,100,45.891177,100,47.210218,100,46.283404,100
83,52.994161,100,45.822537,100,47.131652,100,46.101989,100
84,52.970282,100,45.576069,100,47.066001,100,46.020225,100
85,52.946403,100,45.470676,100,46.907204,100,45.956500,100
86,52.922524,100,45.290165,100,46.835992,100,45.889020,100
87,52.898645,100,45.026125,100,46.718371,100,45.561668,100
88,52.874766,100,44.872472,100,46.550786,100,45.380254,100
89,52.850887,100,44.720125,100,46.472107,100,45.274861,100
90,52.827008,100,44.526609,100,46.405844,100,45.153410,100
91,52.803129,100,44.414441,100,46.200964,100,45.052594,100
92,52.779250,100,44.201914,100,46.026032,100,44.974066,100
93,52.755371,100,44.120805,100,45.944126,100,44.819928,100
94,52.731492,100,44.045453,100,45.863254,100,44.658500,100
95,52.707613,100,43.942175,100,45.616532,100,44.505189,100
96,52.683734,100,43.858682,100,45.531387,100,44.418724,100
97,52.659855,100,43.651531,100,45.452858,100,44.336045,100
98,52.635976,100,43.564742,100,45.369411,100,44.251807,100
99,52.612097,100,43.226407,100,45.303402,100,43.977988,100
100,52.588218,100,42.962367,100,45.215724,100,43.894273,100
101,52.564339,100,42.742703,100,45.154549,100,43.811595,100
102,52.540460,100,42.537150,100,45.070394,100,43.616147,100
103,52.516581,100,42.375722,100,45.003861,100,43.462836,100
104,52.492702,100,42.307894,100,44.923256,100,43.284454,100
105,52.468823,100,42.175771,100,44.860997,100,43.203345,100
106,52.444944,100,41.987983,100,44.790269,100,43.133166,100
107,52.421065,100,41.834382,100,44.703449,100,43.059828,100
108,52.397186,100,41.722214,100,44.634889,100,42.988682,100
109,52.373307,100,41.636382,100,44.528463,100,42.629541,100
110,52.349428,100,41.479151,100,44.462944,100,42.526923,100
111,52.325549,100,41.411323,100,44.330821,100,42.342946,100
112,52.301670,100,41.198797,100,44.267705,100,42.216805,100
113,52.277791,100,41.112965,100,44.185292,100,42.133090,100
114,52.253912,100,40.938033,100,44.099350,100,42.051905,100
115,52.230033,100,40.834755,100,44.031141,100,41.855797,100
116,52.206153,100,40.745002,100,43.961597,100,41.745449,100
117,52.182274,100,40.537852,100,43.897061,100,41.498980,100
118,52.158395,100,40.458545,100,43.837117,100,41.246504,100
119,52.134516,100,40.093582,100,43.775767,100,41.000035,100
120,52.110637,100,39.882990,100,43.692418,100,40.913300,100
121,52.086758,100,39.636269,100,43.494248,100,40.779045,100
122,52.062879,100,39.537006,100,43.427553,100,40.577538,100
123,52.039000,100,39.468412,100,43.358590,100,40.382090,100
124,52.015121,100,39.311181,100,43.292742,100,40.273782,100
125,51.991242,100,39.213295,100,43.215681,100,40.120472,100
126,51.967363,100,39.106003,100,42.965182,100,39.900461,100
127,51.943484,100,39.022020,100,42.898597,100,39.813404,100
128,51.919605,100,38.775551,100,42.782939,100,39.601859,100
129,51.895726,100,38.660652,100,42.708479,100,39.527480,100
130,51.871847,100,38.579481,100,42.598130,100,39.459012,100
131,51.847968,100,38.498297,100,42.488634,100,39.066287,100
132,51.824089,100,38.285770,100,42.331403,100,38.934164,100
133,51.800210,100,38.073244,100,42.259568,100,38.753654,100
134,51.776331,100,37.898312,100,42.190049,100,38.552147,100
135,51.752452,100,37.795033,100,42.128269,100,38.398836,100
136,51.728573,100,37.616651,100,42.060944,100,38.272695,100
137,51.704694,100,37.409500,100,41.983699,100,37.998876,100
138,51.680815,100,37.337577,100,41.886013,100,37.797369,100
139,51.656936,100,36.944743,100,41.815506,100,37.710312,100
140,51.633057,100,36.769812,100,41.741524,100,37.627968,100
141,51.609178,100,36.686097,100,41.632070,100,37.433449,100
142,51.585299,100,36.466432,100,41.552117,100,37.346714,100
143,51.561420,100,36.367170,100,41.486997,100,37.135091,100
144,51.537541,100,36.289651,100,41.424769,100,36.939643,100
145,51.513662,100,36.176755,100,41.315871,100,36.832079,100
146,51.489783,100,36.105312,100,41.253079,100,36.723771,100
147,51.465904,100,35.952001,100,41.183441,100,36.449952,100
148,51.442025,100,35.849384,100,41.083805,100,36.288524,100
149,51.418145,100,35.644504,100,41.002159,100,36.076979,100
150,51.394266,100,35.523053,100,40.945588,100,36.010149,100
151,51.370387,100,35.403715,100,40.859276,100,35.928375,100
152,51.346508,100,35.334954,100,40.791639,100,35.852126,100
153,51.322629,100,35.252275,100,40.713784,100,35.455351,100
154,51.298750,100,35.153013,100,40.657012,100,35.293923,100
155,51.274871,100,34.978081,100,40.596228,100,35.092416,100
156,51.250992,100,34.765555,100,40.535036,100,34.885265,100
157,51.227113,100,34.558404,100,40.446935,100,34.673720,100
158,51.203234,100,34.472615,100,40.372383,100,34.453709,100
159,51.179355,100,34.073441,100,40.295078,100,34.269980,100
160,51.155476,100,33.889464,100,40.217271,100,34.155081,100
161,51.131597,100,33.808279,100,40.146921,100,33.943535,100
162,51.107718,100,33.699971,100,40.081159,100,33.838142,100
163,51.083839,100,33.519460,100,39.975985,100,33.757033,100
164,51.059960,100,33.435746,100,39.898129,100,33.670299,100
165,51.036081,100,33.364302,100,39.824539,100,33.556256,100
166,51.012202,100,33.157152,100,39.762817,100,33.465601,100
167,50.988323,100,32.893112,100,39.682711,100,33.313181,100
168,50.964444,100,32.819123,100,39.598920,100,33.159870,100
169,50.940565,100,32.719861,100,39.533940,100,33.000382,100
170,50.916686,100,32.617331,100,39.470726,100,32.709505,100
171,50.892807,100,32.364854,100,39.331676,100,32.573721,100
172,50.868928,100,32.162198,100,39.172188,100,32.487889,100
173,50.845049,100,32.056805,100,39.026812,100,32.366439,100
174,50.821170,100,31.851925,100,38.963001,100,32.303810,100
175,50.797291,100,31.697787,100,38.903314,100,31.884384,100
176,50.773412,100,31.522855,100,38.820734,100,31.812941,100
177,50.749533,100,31.326614,100,38.742463,100,31.601317,100
178,50.725654,100,31.269604,100,38.663677,100,31.495924,100
179,50.701775,100,30.856961,100,38.599889,100,31.301405,100
180,50.677896,100,30.697473,100,38.460030,100,31.126473,100
